author_id,award_year,pre_avg_citations,post_avg_citations,pre_avg_works,post_avg_works,lift_citations,lift_works,conference,author_position,group,treatment
A5023230863,2014,1654.0,802.6,5.8,5.8,0.4852478839177751,1.0,SODA,middle,nonaward,
A5023348307,2016,45.6,10.4,3.6,2.8,0.2280701754385964,0.7777777777777777,ICSE,last,nonaward,
A5023470556,2016,61.2,56.0,2.0,0.4,0.915032679738562,0.2,OSDI,middle,nonaward,
A5023480672,2006,16.4,7.0,1.4,2.8,0.426829268292683,2.0,ICML,first,nonaward,
A5023556444,2007,17.2,3.4,4.4,2.4,0.1976744186046511,0.5454545454545454,SOSP,last,nonaward,
A5023645110,2014,365.4,263.0,5.6,7.2,0.7197591680350302,1.2857142857142858,SODA,middle,nonaward,
A5023948083,2000,7.4,13.8,0.6,2.0,1.864864864864865,3.333333333333333,AAAI,first,nonaward,
A5024012980,2016,173.8,174.8,27.6,5.6,1.005753739930955,0.2028985507246376,NSDI,first,nonaward,
A5024030198,2014,0.0,4.8,0.0,0.2,,,VLDB,middle,nonaward,
A5024053576,2018,2015.0,2791.0,77.0,119.0,1.3851116625310174,1.5454545454545454,OSDI,middle,nonaward,
A5024384625,2015,484.2,3079.8,16.2,12.4,6.360594795539034,0.7654320987654322,SOSP,last,nonaward,
A5024403468,2016,0.0,0.6,0.6,0.4,,0.6666666666666667,CHI,first,nonaward,
