conference,award_year,work_id,cited_by_count,type
SIGIR,2002,https://openalex.org/W1981825277,432,award
ACL,2001,https://openalex.org/W2139403546,234,award
ICCV,2001,https://openalex.org/W2148162135,146,award
KDD,2001,https://openalex.org/W2009144907,48,award
PODS,2001,https://openalex.org/W2134206624,1080,award
SIGIR,2001,https://openalex.org/W2094661073,255,award
SIGMOD,2001,https://openalex.org/W2163336863,869,award
SOSP,2001,https://openalex.org/W2100857937,12,award
SOSP,2001,https://openalex.org/W2053903896,166,award
UIST,2001,https://openalex.org/W1994547327,645,award
WWW,2001,https://openalex.org/W1985727586,66,award
AAAI,2000,https://openalex.org/W2103552898,39,award
CVPR,2000,https://openalex.org/W2159128898,2914,award
INFOCOM,2000,https://openalex.org/W2110416206,292,award
OSDI,2000,https://openalex.org/W4235785239,177,award
SIGIR,2000,https://openalex.org/W1985554184,1458,award
SIGMOD,2000,https://openalex.org/W4235095233,200,award
WWW,2000,https://openalex.org/W2175110005,2771,award
